@0  0000001011101100
@1  0000001110100001
@2  0000000101011011
@3  0000001111110011
@4  0000000111101111
@5  0000001111011100
@6  0000001001010100
@7  0000001111011111
@8  0000000100111010
@9  0000000101100011
@a  0010111011001100
@b  0011100110110001
@c  0001010100101011
@d  0011111110010011
@e	0011111001011110
@f	0011111101000100
@10	0011010101111111
@11	0001111100011010
@12	0001101001010111
@13	0011110111001101
@14	0010010100110110
@15	0011110111111111
@16	0001001000001010
@17	0001001001100011
@18 0000000000111100
@19	0000000010100001
@1a	0000000001101110
@1b	0000000011011100
@1c	0000000010010100
@1d	0000000011101111
@1e	0000000001001010
@1f	0000000001011000














