@0  0000000000001100
@1  0000000000001100
@2  0000111111110110
@3  0000111011101101
@4  0000010111111011
@5  0000111111001011
@6  0000111111111111
@7  0000111111000110
@8  0000011111011110
@9  0000111111111110
@a  0000110110001011
@b  0000110110111110
@c  0000110001110001
@d  0000010110001100
@e	0000000000010000
@f	0000000000010000
@10	1111111110110110
@11	1110111011011101
@12	0101110110111011
@13	1111111111001011
@14	1111111111111111
@15	1111111101000110
@16	1111110101111111
@17	1111110000001010
@18	1100101111011110
@19	0111111111110101
@1a	0111110111111110
@1b	1111111110110110
@1c	1101100001001011
@1d	1101101101101110
@1e	1101100001110001
@1f	0101100011000110
@20	0000000000001010
@21	0000000000001010
@22	0000001111111110
@23	0000001110111101
@24	0000000111111011
@25	0000001111000110
@26	0000001111011110
@27	0000001111111110
@28	0000001101101011
@29	0000001101111110
@2a	0000001100011100
@2b	0000000101100000
@2c 0000000011111111


















